"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"DANE ELEC MEMORY";"FR0000036774";"DAN";"Euronext Paris";"EUR";"0,21";"0,21";"0,21";"0,21";"27/02/2013 09:00";"CET";"500";"105,00"
"DANONE";"FR0000120644";"BN";"Euronext Paris";"EUR";"62,77";"62,97";"62,02";"62,84";"10/03/2017 17:35";"CET";"1516310";"94936230,23"
"DASSAULT AVIATION";"FR0000121725";"AM";"Euronext Paris";"EUR";"1112,15";"1129,95";"1112,15";"1125,00";"10/03/2017 17:35";"CET";"10188";"11458491,15"
"DASSAULT SYST NV";"FR0013227386";"DSYNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DASSAULT SYSTEMES";"FR0000130650";"DSY";"Euronext Paris";"EUR";"76,82";"77,33";"76,30";"76,42";"10/03/2017 17:35";"CET";"226607";"17370706,82"
"DATA HERTZ";"FR0012222149";"MLDHZ";"Marché Libre Paris";"EUR";"5,34";"5,34";"5,34";"5,34";"05/12/2016 15:00";"CET";"4";"21,36"
"DATBIM";"FR0004177939";"MLDTB";"Marché Libre Paris";"EUR";"4,00";"4,00";"4,00";"4,00";"10/03/2017 15:09";"CET";"930";"3720,00"
"DBT";"FR0013066750";"ALDBT";"Alternext Paris";"EUR";"1,44";"1,49";"1,44";"1,48";"10/03/2017 17:35";"CET";"14990";"22008,87"
"DBV TECHNOLOGIES";"FR0010417345";"DBV";"Euronext Paris";"EUR";"69,50";"70,15";"69,04";"69,13";"10/03/2017 17:35";"CET";"22992";"1601605,64"
"DEBFLEX";"FR0010776658";"MLDEX";"Marché Libre Paris";"EUR";"0,31";"0,31";"0,31";"0,31";"28/02/2017 15:00";"CET";"1";"0,31"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"2,43";"2,45";"2,43";"2,431";"10/03/2017 17:29";"CET";"80989";"198076,355"
"DEINOVE";"FR0010879056";"ALDEI";"Alternext Paris";"EUR";"1,95";"1,95";"1,90";"1,90";"10/03/2017 17:35";"CET";"32519";"62410,42"
"DELFINGEN";"FR0000054132";"ALDEL";"Alternext Paris";"EUR";"30,79";"30,84";"30,79";"30,80";"10/03/2017 17:23";"CET";"390";"12009,90"
"DELTA DRONE";"FR0011522168";"ALDR";"Alternext Paris";"EUR";"1,03";"1,03";"1,02";"1,03";"10/03/2017 17:35";"CET";"47621";"48904,50"
"DELTA LLOYD";"NL0009294552";"DL";"Euronext Amsterdam, Brussels";"EUR";"5,32";"5,332";"5,319";"5,321";"10/03/2017 17:35";"CET";"1416972";"7541769,283"
"DELTA PLUS GROUP";"FR0012928612";"DLTA";"Euronext Paris";"EUR";"67,00";"67,10";"66,61";"66,90";"10/03/2017 17:35";"CET";"437";"29255,30"
"DEMOS";"FR0010474130";"ALDMO";"Alternext Paris";"EUR";"0,50";"0,50";"0,50";"0,50";"10/03/2017 09:00";"CET";"1";"0,50"
"DERICHEBOURG";"FR0000053381";"DBG";"Euronext Paris";"EUR";"4,27";"4,297";"4,185";"4,277";"10/03/2017 17:35";"CET";"99428";"423572,694"
"DERICHEBOURGBS0317";"FR0010198309";"DBGBS";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DESIGN YOUR HOME";"SE0007045380";"MLDYH";"Marché Libre Paris";"EUR";"1,93";"1,93";"1,93";"1,93";"18/07/2016 15:00";"CET";"15460";"29837,80"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Amsterdam";"EUR";"16,24";"16,26";"16,23";"16,26";"10/03/2017 17:23";"CET";"1646";"26733,36"
"DEVERNOIS";"FR0000060840";"ALDEV";"Alternext Paris";"EUR";"140,70";"142,00";"134,00";"142,00";"01/09/2016 16:23";"CET";"123";"17328,40"
"DEVOTEAM";"FR0000073793";"DVT";"Euronext Paris";"EUR";"63,11";"63,14";"61,75";"62,30";"10/03/2017 17:35";"CET";"4448";"276606,04"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"11,005";"11,15";"11,005";"11,01";"10/03/2017 16:46";"CET";"1025";"11320,775"
"DIAGEO";"GB0002374006";"DGE";"Euronext Paris";"EUR";"27,44";"27,44";"25,92";"26,02";"10/03/2017 10:48";"CET";"49";"1302,98"
"DIAGNOSTIC BS";"FR0012314623";"DGMBS";"Euronext Paris";"EUR";"0,015";"0,015";"0,014";"0,014";"10/03/2017 10:34";"CET";"35802";"515,221"
"DIAGNOSTIC MEDICAL";"FR0012202497";"DGM";"Euronext Paris";"EUR";"1,88";"1,88";"1,80";"1,83";"10/03/2017 17:35";"CET";"29749";"54367,56"
"DIAXONHIT";"FR0004054427";"ALEHT";"Alternext Paris";"EUR";"0,26";"0,26";"0,25";"0,26";"10/03/2017 17:35";"CET";"168291";"43059,03"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"Euronext Brussels";"EUR";"124,50";"124,50";"124,50";"124,50";"10/03/2017 15:04";"CET";"468";"58266,00"
"DIETSWELL";"FR0010377127";"ALDIE";"Alternext Paris";"EUR";"1,00";"1,00";"1,00";"1,00";"10/03/2017 15:30";"CET";"581";"581,00"
"DIGIGRAM";"FR0000035784";"DIG";"Euronext Paris";"EUR";"0,93";"0,93";"0,93";"0,93";"10/03/2017 11:30";"CET";"1250";"1162,50"
"DIGITECH";"FR0000079824";"MLDIG";"Marché Libre Paris";"EUR";"0,90";"0,90";"0,90";"0,90";"20/12/2016 15:00";"CET";"600";"540,00"
"DIRECT ENERGIE";"FR0004191674";"DIREN";"Euronext Paris";"EUR";"34,28";"34,71";"34,10";"34,71";"10/03/2017 17:35";"CET";"15561";"535008,525"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"Euronext Brussels";"EUR";"247,59";"247,59";"247,59";"247,59";"08/03/2017 15:00";"CET";"12";"2971,08"
"DL SOFTWARE";"FR0010357079";"ALSDL";"Alternext Paris";"EUR";"23,06";"23,06";"23,06";"23,06";"09/03/2017 13:26";"CET";"1120";"25827,20"
"DNXCORP";"FR0010436584";"DNX";"Euronext Paris";"EUR";"5,72";"5,76";"5,72";"5,76";"10/03/2017 13:42";"CET";"338";"1943,36"
"DOC DATA";"NL0000345627";"DOCD";"Euronext Amsterdam";"EUR";"0,38";"0,399";"0,369";"0,38";"10/03/2017 17:35";"CET";"14256";"5413,288"
"DOCK.PETR.AMBES AM";"FR0000065260";"DPAM";"Euronext Paris";"EUR";"378,00";"378,00";"378,00";"378,00";"10/03/2017 11:30";"CET";"2";"756,00"
"DOLPHIN INTEGRAT.";"FR0004022754";"ALDOL";"Alternext Paris";"EUR";"3,52";"3,52";"3,52";"3,52";"10/03/2017 15:30";"CET";"257";"904,64"
"DOM SECURITY";"FR0000052839";"DOMS";"Euronext Paris";"EUR";"49,99";"50,00";"49,55";"50,00";"10/03/2017 15:37";"CET";"624";"31078,65"
"DPA GROUP";"NL0009197771";"DPA";"Euronext Amsterdam";"EUR";"1,666";"1,71";"1,666";"1,685";"10/03/2017 16:24";"CET";"11635";"19741,452"
"DRDGOLD";"ZAE000058723";"MLDUR";"Marché Libre Paris";"EUR";"0,46";"0,46";"0,46";"0,46";"08/03/2017 15:00";"CET";"1000";"460,00"
"DRONE VOLT";"FR0013088606";"ALDRV";"Alternext Paris";"EUR";"1,14";"1,14";"1,11";"1,12";"10/03/2017 17:12";"CET";"23444";"26127,56"
"DRONE VOLT BS";"FR0012860542";"DRVBS";"Alternext Paris";"EUR";"0,28";"0,28";"0,28";"0,28";"22/02/2017 16:00";"CET";"1000";"280,00"
"DSM KON";"NL0000009827";"DSM";"Euronext Amsterdam";"EUR";"63,40";"63,73";"62,73";"63,43";"10/03/2017 17:35";"CET";"1000137";"63306380,97"
"DUC";"FR0000036287";"DUC";"Euronext Paris";"EUR";"1,07";"1,07";"1,07";"1,07";"06/03/2017 16:30";"CET";"540";"577,80"
"DWC 3.0";"IT0005154635";"MLDWC";"Marché Libre Paris";"EUR";"0,36";"0,36";"0,36";"0,36";"21/12/2016 15:00";"CET";"1020";"367,20"
"DYNAFOND";"FR0000052920";"MLDYN";"Marché Libre Paris";"EUR";"5,02";"5,02";"5,02";"5,02";"06/02/2017 15:00";"CET";"11";"55,22"
"DYNEX ENERGY SA";"LU0881232630";"MLDYX";"Marché Libre Paris";"EUR";"6,40";"6,40";"6,40";"6,40";"10/02/2017 15:00";"CET";"50";"320,00"
"E.ON SE";"DE000ENAG999";"EON";"Traded not listed Amsterdam";"EUR";"7,08";"7,08";"7,08";"7,08";"09/03/2017 16:30";"CET";"1580";"11186,40"
"EASSON TELECOM";"HK0000038783";"MLEAS";"Marché Libre Paris";"EUR";"1,00";"1,00";"1,00";"1,00";"20/01/2017 15:00";"CET";"1";"1,00"
"EASYVISTA";"FR0010246322";"ALEZV";"Alternext Paris";"EUR";"27,85";"27,85";"27,70";"27,70";"10/03/2017 17:02";"CET";"35";"973,25"
"EAUX DE DOUAI";"FR0005142999";"MLEAU";"Marché Libre Paris";"EUR";"120,00";"120,00";"120,00";"120,00";"16/01/2017 15:00";"CET";"1";"120,00"
"EAUX DE ROYAN";"FR0007200100";"MLEDR";"Marché Libre Paris";"EUR";"123,50";"123,50";"123,50";"123,50";"10/03/2017 15:00";"CET";"48";"5928,00"
"EAVS";"FR0010536185";"MLEAV";"Marché Libre Paris";"EUR";"13,95";"13,95";"13,95";"13,95";"23/07/2010 15:00";"CET";"10";"139,50"
"ECA";"FR0010099515";"ECASA";"Euronext Paris";"EUR";"22,57";"22,57";"22,37";"22,42";"10/03/2017 17:35";"CET";"926";"20812,59"
"ECKERT-ZIEGLER BG";"BE0974300320";"EZBG";"Euronext Brussels";"EUR";"8,999";"8,999";"8,999";"8,999";"10/03/2017 09:07";"CET";"20";"179,98"
"ECOLUTIONS";"DE000A0XYM45";"MLECO";"Marché Libre Paris";"EUR";"1,25";"1,25";"1,25";"1,25";"21/12/2016 15:00";"CET";"100";"125,00"
"ECONOCOM GROUP";"BE0974266950";"ECONB";"Euronext Brussels";"EUR";"14,295";"14,46";"14,28";"14,40";"10/03/2017 17:35";"CET";"106495";"1534660,065"
"ECOSLOPS";"FR0011490648";"ALESA";"Alternext Paris";"EUR";"11,20";"11,20";"11,06";"11,15";"10/03/2017 17:20";"CET";"3114";"34615,10"
"EDENRED";"FR0010908533";"EDEN";"Euronext Paris";"EUR";"20,865";"21,065";"20,685";"21,02";"10/03/2017 17:35";"CET";"715097";"14958869,655"
"EDENRED NV";"FR0013227402";"EDENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EDF";"FR0010242511";"EDF";"Euronext Paris";"EUR";"7,94";"8,04";"7,885";"7,885";"10/03/2017 17:35";"CET";"4430578";"35171352,567"
"EDF DS";"FR0013240322";"EDFDS";"Euronext Paris";"EUR";"0,45";"0,492";"0,44";"0,455";"10/03/2017 17:35";"CET";"20819565";"9773789,326"
"EDITIONS DU SIGNE";"FR0000052755";"MLEDS";"Marché Libre Paris";"EUR";"0,82";"0,82";"0,82";"0,82";"03/02/2017 15:00";"CET";"1";"0,82"
"EDP";"PTEDP0AM0009";"EDP";"Euronext Lisbon";"EUR";"2,849";"2,857";"2,827";"2,827";"10/03/2017 16:35";"GMT";"4014641";"11380005,529"
"EDP RENOVAVEIS";"ES0127797019";"EDPR";"Euronext Lisbon";"EUR";"6,185";"6,215";"6,096";"6,10";"10/03/2017 16:35";"GMT";"567950";"3480656,964"
"EDUNIVERSAL";"FR0010439265";"MLEDU";"Marché Libre Paris";"EUR";"8,42";"8,42";"8,42";"8,42";"18/04/2012 15:00";"CET";"850";"7157,00"
"EES";"FR0010945733";"MLEES";"Marché Libre Paris";"EUR";"0,57";"0,57";"0,57";"0,57";"09/03/2017 15:00";"CET";"54";"30,78"
"EGIDE";"FR0000072373";"GID";"Euronext Paris";"EUR";"2,44";"2,45";"2,43";"2,43";"10/03/2017 17:25";"CET";"49001";"119340,89"
"EIFFAGE";"FR0000130452";"FGR";"Euronext Paris";"EUR";"68,56";"69,51";"68,40";"68,94";"10/03/2017 17:35";"CET";"347293";"23978941,06"
"EKINOPS";"FR0011466069";"EKI";"Euronext Paris";"EUR";"7,26";"7,36";"7,17";"7,21";"10/03/2017 17:35";"CET";"34322";"248511,27"
"ELEC.STRASBOURG";"FR0000031023";"ELEC";"Euronext Paris";"EUR";"113,50";"113,50";"112,28";"113,37";"10/03/2017 12:36";"CET";"93";"10495,18"
"ELECTRO POWER";"FR0012650166";"EPS";"Euronext Paris";"EUR";"6,94";"6,94";"6,73";"6,87";"10/03/2017 17:16";"CET";"2677";"18190,94"
"ELIA";"BE0003822393";"ELI";"Euronext Brussels";"EUR";"47,55";"47,655";"47,15";"47,41";"10/03/2017 17:35";"CET";"35906";"1703289,555"
"ELIOR GROUP";"FR0011950732";"ELIOR";"Euronext Paris";"EUR";"21,55";"21,64";"21,49";"21,50";"10/03/2017 17:35";"CET";"175146";"3772372,81"
"ELIOR NV";"FR0013204435";"ELINV";"Euronext Paris";"EUR";"20,88";"20,88";"20,88";"20,88";"08/03/2017 12:00";"CET";"150";"3132,00"
"ELIS";"FR0012435121";"ELIS";"Euronext Paris";"EUR";"17,30";"17,35";"17,17";"17,27";"10/03/2017 17:35";"CET";"106625";"1841797,505"
"EMAKINA GROUP";"BE0003843605";"ALEMK";"Alternext Brussels";"EUR";"14,89";"14,89";"14,89";"14,89";"10/03/2017 15:30";"CET";"400";"5956,00"
"EMD MUSIC";"BE0003849669";"EMD";"Marché Libre Brussels";"EUR";"1,69";"1,69";"1,69";"1,69";"20/02/2017 15:00";"CET";"10";"16,90"
"EMOVA GROUP";"FR0010554113";"ALEMV";"Alternext Paris";"EUR";"0,44";"0,44";"0,44";"0,44";"24/02/2017 15:30";"CET";"1610";"708,40"
"ENCRES DUBUIT";"FR0004030708";"DBT";"Euronext Paris";"EUR";"4,02";"4,05";"4,00";"4,00";"10/03/2017 13:31";"CET";"4315";"17325,56"
"ENERTIME";"FR0011915339";"ALENE";"Alternext Paris";"EUR";"7,55";"7,55";"7,50";"7,51";"10/03/2017 17:22";"CET";"341";"2560,85"
"ENGIE";"FR0010208488";"ENGI";"Euronext Paris, Brussels";"EUR";"12,75";"12,755";"12,505";"12,56";"10/03/2017 17:36";"CET";"7418832";"93542208,01"
"ENI";"IT0003132476";"ENI";"Traded not listed Amsterdam";"EUR";"15,50";"15,50";"15,50";"15,50";"07/03/2017 16:30";"CET";"18";"279,00"
"ENTREPARTICULIERS";"FR0010424697";"ALENT";"Alternext Paris";"EUR";"0,79";"0,79";"0,79";"0,79";"10/03/2017 09:05";"CET";"1";"0,79"
"ENTREPRENDRE";"FR0000045122";"ALENR";"Alternext Paris";"EUR";"18,55";"18,55";"18,55";"18,55";"10/03/2017 15:30";"CET";"37";"686,35"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Brussels";"EUR";"7,37";"7,37";"7,37";"7,37";"09/03/2017 11:30";"CET";"110";"810,70"
"ENVIRONNEMENT SA";"FR0010278762";"ALTEV";"Alternext Paris";"EUR";"64,90";"64,90";"64,80";"64,80";"10/03/2017 12:56";"CET";"173";"11224,90"
"EO2";"FR0010465534";"ALEO2";"Alternext Paris";"EUR";"3,01";"3,01";"3,01";"3,01";"10/03/2017 15:30";"CET";"500";"1505,00"
"EON MOTORS GROUP";"FR0011612837";"MLEMG";"Marché Libre Paris";"EUR";"4,45";"4,45";"4,45";"4,45";"24/01/2017 15:00";"CET";"45";"200,25"
"EOS IMAGING";"FR0011191766";"EOSI";"Euronext Paris";"EUR";"4,57";"4,65";"4,56";"4,60";"10/03/2017 17:35";"CET";"18933";"86958,24"
"ERAMET";"FR0000131757";"ERA";"Euronext Paris";"EUR";"45,40";"46,96";"44,50";"45,66";"10/03/2017 17:35";"CET";"76940";"3528235,18"
"ERYTECH PHARMA";"FR0011471135";"ERYP";"Euronext Paris";"EUR";"15,33";"15,35";"14,71";"15,14";"10/03/2017 17:35";"CET";"23735";"360025,53"
"ESI GROUP";"FR0004110310";"ESI";"Euronext Paris";"EUR";"53,27";"53,57";"52,15";"53,20";"10/03/2017 17:35";"CET";"4515";"239891,46"
"ESKER";"FR0000035818";"ALESK";"Alternext Paris";"EUR";"47,00";"47,26";"47,00";"47,00";"10/03/2017 17:35";"CET";"1090";"51347,44"
"ESPERITE";"NL0009272137";"ESP";"Euronext Amsterdam, Paris";"EUR";"1,255";"1,278";"1,20";"1,277";"10/03/2017 17:28";"CET";"78686";"98402,093"
"ESSILOR INTL.";"FR0000121667";"EI";"Euronext Paris";"EUR";"112,30";"113,50";"111,85";"111,85";"10/03/2017 17:35";"CET";"759149";"85354567,35"
"ESSILOR NV";"FR0013227428";"EINV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESSO";"FR0000120669";"ES";"Euronext Paris";"EUR";"40,56";"41,00";"39,01";"40,29";"10/03/2017 17:35";"CET";"1830";"73594,07"
"EST REPUBLICAIN";"FR0005310463";"MLEST";"Marché Libre Paris";"EUR";"20,00";"20,00";"20,00";"20,00";"06/01/2016 15:00";"CET";"12";"240,00"
"ESTORIL SOL N";"PTESO0AM0000";"ESON";"Euronext Lisbon";"EUR";"10,94";"-";"-";"10,94";"30/01/2006 23:00";"GMT";"-";"-"
"ESTORIL SOL P";"PTESO0AE0000";"ESO";"Euronext Lisbon";"EUR";"3,20";"3,20";"3,20";"3,20";"08/03/2017 15:30";"GMT";"100";"320,00"
"ETAM DEVELOPPEMENT";"FR0000035743";"TAM";"Euronext Paris";"EUR";"33,40";"33,40";"32,91";"33,40";"10/03/2017 17:35";"CET";"469";"15647,11"
"EULER HERMES GROUP";"FR0004254035";"ELE";"Euronext Paris";"EUR";"85,00";"86,92";"85,00";"86,47";"10/03/2017 17:35";"CET";"15752";"1358087,76"
"EURASIA FONC INV";"FR0000061475";"EFI";"Euronext Paris";"EUR";"0,15";"0,15";"0,15";"0,15";"07/03/2017 11:30";"CET";"105";"15,75"
"EURASIA GROUPE";"FR0010844001";"ALEUA";"Alternext Paris";"EUR";"7,40";"7,40";"7,40";"7,40";"28/02/2017 15:31";"CET";"282";"2086,80"
"EURAZEO";"FR0000121121";"RF";"Euronext Paris";"EUR";"59,14";"59,72";"59,14";"59,53";"10/03/2017 17:35";"CET";"71400";"4251842,21"
"EURO DISNEY";"FR0010540740";"EDL";"Euronext Paris";"EUR";"1,98";"2,00";"1,98";"1,99";"10/03/2017 17:35";"CET";"438765";"873110,93"
"EURO RESSOURCES";"FR0000054678";"EUR";"Euronext Paris";"EUR";"3,67";"3,73";"3,65";"3,68";"10/03/2017 17:19";"CET";"762";"2799,93"
"EUROCASTLE INVEST.";"GB00B94QM994";"ECT";"Euronext Amsterdam";"EUR";"8,25";"8,38";"8,09";"8,20";"10/03/2017 17:35";"CET";"9949";"82126,87"
"EUROCOMMERCIAL";"NL0000288876";"ECMPA";"Euronext Amsterdam";"EUR";"33,50";"33,59";"33,24";"33,25";"10/03/2017 17:35";"CET";"47487";"1581034,28"
"EUROFINS BSAR17";"FR0010891796";"ERFBS";"Euronext Paris";"EUR";"198,00";"198,00";"198,00";"198,00";"08/03/2017 09:00";"CET";"1";"198,00"
"EUROFINS CEREP";"FR0012413771";"ALECR";"Alternext Paris";"EUR";"100,05";"100,05";"100,05";"100,05";"10/03/2017 15:30";"CET";"12";"1200,60"
"EUROFINS NV";"FR0013229044";"ERFNV";"Euronext Paris";"EUR";"405,61";"405,61";"405,61";"405,61";"10/03/2017 12:00";"CET";"50";"20280,50"
"EUROFINS SCIENT.";"FR0000038259";"ERF";"Euronext Paris";"EUR";"407,00";"409,80";"406,15";"406,35";"10/03/2017 17:35";"CET";"12829";"5223797,80"
"EUROGERM";"FR0010452474";"ALGEM";"Alternext Paris";"EUR";"24,56";"24,56";"24,56";"24,56";"10/03/2017 09:00";"CET";"1";"24,56"
"EUROLAND CORPORATE";"FR0010157115";"MLERO";"Marché Libre Paris";"EUR";"0,39";"0,39";"0,39";"0,39";"09/03/2017 15:00";"CET";"3000";"1170,00"
"EUROMEDIS GROUPE";"FR0000075343";"EMG";"Euronext Paris";"EUR";"7,00";"7,01";"6,96";"6,96";"10/03/2017 17:13";"CET";"876";"6118,45"
"EURONAV";"BE0003816338";"EURN";"Euronext Brussels";"EUR";"7,508";"7,605";"7,437";"7,478";"10/03/2017 17:35";"CET";"407547";"3062384,264"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"41,075";"41,265";"40,835";"41,215";"10/03/2017 18:32";"CET";"116419";"4788243,95"
"EURONEXT";"NL0006294274";"ENXP";"Euronext Lisbon";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EUROPACORP";"FR0010490920";"ECP";"Euronext Paris";"EUR";"3,55";"3,57";"3,48";"3,51";"10/03/2017 17:35";"CET";"9376";"32991,93"
"EUROPCAR";"FR0012789949";"EUCAR";"Euronext Paris";"EUR";"10,02";"10,115";"10,00";"10,025";"10/03/2017 17:35";"CET";"161530";"1623361,43"
"EUROPLASMA";"FR0000044810";"ALEUP";"Alternext Paris";"EUR";"0,36";"0,37";"0,34";"0,36";"10/03/2017 17:35";"CET";"3223622";"1136155,65"
"EUROPLASMA BSA";"FR0012160653";"EURBS";"Alternext Paris";"EUR";"0,01";"0,02";"0,01";"0,02";"10/03/2017 16:10";"CET";"3254";"60,08"
"EUROPLASMA BSB";"FR0012160661";"EURBT";"Alternext Paris";"EUR";"0,02";"0,03";"0,02";"0,03";"10/03/2017 16:52";"CET";"30600";"901,00"
"EUROPUBLIDIS";"BE0003842599";"ALPBS";"Alternext Brussels";"EUR";"0,20";"0,20";"0,20";"0,20";"09/03/2017 15:30";"CET";"18997";"3799,40"
"EUROSIC";"FR0000038200";"ERSC";"Euronext Paris";"EUR";"37,01";"37,09";"35,26";"35,26";"10/03/2017 17:35";"CET";"1932";"69914,24"
"EUTELSAT COMMUNIC.";"FR0010221234";"ETL";"Euronext Paris";"EUR";"19,61";"19,87";"19,515";"19,84";"10/03/2017 17:35";"CET";"692162";"13680006,845"
"EVADIX";"BE0003840577";"ALEVA";"Alternext Brussels";"EUR";"0,21";"0,21";"0,21";"0,21";"25/01/2017 15:30";"CET";"4510";"947,10"
"EVERSET";"FR0000044745";"MLEVE";"Marché Libre Paris";"EUR";"0,11";"0,11";"0,11";"0,11";"23/02/2017 15:00";"CET";"23";"2,53"
"EVOLIS";"FR0004166197";"ALTVO";"Alternext Paris";"EUR";"44,65";"44,65";"44,20";"44,21";"10/03/2017 17:19";"CET";"436";"19311,77"
"EVS BROADC.EQUIPM.";"BE0003820371";"EVS";"Euronext Brussels";"EUR";"35,40";"35,60";"35,01";"35,21";"10/03/2017 17:35";"CET";"44175";"1558400,015"
"EXACOMPTA CLAIREF.";"FR0000064164";"EXAC";"Euronext Paris";"EUR";"123,45";"123,45";"123,45";"123,45";"10/03/2017 16:30";"CET";"4";"493,80"
"EXEL INDUSTRIES";"FR0004527638";"EXE";"Euronext Paris";"EUR";"79,01";"79,93";"79,01";"79,65";"10/03/2017 17:35";"CET";"366";"29113,05"
"EXMAR";"BE0003808251";"EXM";"Euronext Brussels";"EUR";"7,363";"7,40";"7,31";"7,40";"10/03/2017 17:35";"CET";"12313";"90734,51"
"EXPLOS.PROD.CHI.PF";"FR0000037343";"EPCP";"Euronext Paris";"EUR";"730,00";"730,00";"730,00";"730,00";"09/03/2017 16:30";"CET";"4";"2920,00"
"EXPLOSIFS PROD.CHI";"FR0000039026";"EXPL";"Euronext Paris";"EUR";"760,00";"760,00";"760,00";"760,00";"03/03/2017 11:30";"CET";"1";"760,00"
"F.RAMA";"PTFRV0AE0004";"RAM";"Euronext Lisbon";"EUR";"7,60";"7,61";"6,80";"7,00";"10/03/2017 15:46";"GMT";"3209";"23678,15"
"FACILASOL GROUP";"FR0010627760";"MLFAC";"Marché Libre Paris";"EUR";"0,18";"0,18";"0,18";"0,18";"12/06/2015 15:00";"CET";"7000";"1260,00"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"10,305";"10,445";"10,265";"10,345";"10/03/2017 17:35";"CET";"167484";"1737572,55"
"FAIVELEY TRANSPORT";"FR0000053142";"LEY";"Euronext Paris";"EUR";"101,95";"118,99";"101,95";"117,57";"09/03/2017 00:00";"CET";"775";"86072,81"
"FASHION B AIR";"FR0004034593";"ALFBA";"Alternext Paris";"EUR";"0,72";"0,72";"0,72";"0,72";"10/03/2017 15:36";"CET";"2502";"1801,44"
"FAURECIA";"FR0000121147";"EO";"Euronext Paris";"EUR";"41,45";"42,02";"41,41";"41,64";"10/03/2017 17:35";"CET";"499081";"20826422,695"
"FAUVET GIREL";"FR0000063034";"FAUV";"Euronext Paris";"EUR";"29,62";"29,62";"29,62";"29,62";"22/02/2017 16:30";"CET";"23";"681,26"
"FAYENC.SARREGUEMI.";"FR0000031973";"FAYE";"Euronext Paris";"EUR";"40,00";"40,00";"40,00";"40,00";"10/03/2017 16:30";"CET";"1";"40,00"
"FD";"FR0012300424";"MLFDV";"Marché Libre Paris";"EUR";"9,23";"9,23";"9,23";"9,23";"07/03/2017 15:00";"CET";"2";"18,46"
"FDL";"FR0000030181";"FDL";"Euronext Paris";"EUR";"7,72";"7,72";"7,72";"7,72";"10/03/2017 09:00";"CET";"1";"7,72"
"FENALU";"PTFEN0AP0006";"FEN";"Easynext Lisbon";"EUR";"0,02";"0,02";"0,01";"0,01";"02/02/2017 15:30";"GMT";"5000";"60,00"
"FERCO DEV.";"FR0010071530";"MLFER";"Marché Libre Paris";"EUR";"0,11";"0,11";"0,11";"0,11";"12/10/2016 15:00";"CET";"4400";"484,00"
"FERM.CAS.MUN.CANNE";"FR0000062101";"FCMC";"Euronext Paris";"EUR";"1280,00";"1280,00";"1280,00";"1280,00";"22/02/2017 11:30";"CET";"1";"1280,00"
"FERMENTALG";"FR0011271600";"FALG";"Euronext Paris";"EUR";"2,86";"2,95";"2,86";"2,91";"10/03/2017 17:35";"CET";"31836";"92696,36"
"FFP";"FR0000064784";"FFP";"Euronext Paris";"EUR";"87,00";"87,00";"86,73";"87,00";"10/03/2017 17:35";"CET";"13793";"1199661,67"
"FIDUCIAL OFF.SOL.";"FR0000061418";"SACI";"Euronext Paris";"EUR";"27,49";"27,49";"27,49";"27,49";"10/03/2017 11:30";"CET";"1";"27,49"
"FIDUCIAL REAL EST.";"FR0000060535";"ORIA";"Euronext Paris";"EUR";"160,50";"160,50";"160,50";"160,50";"10/03/2017 11:30";"CET";"1";"160,50"
"FIGEAC AERO";"FR0011665280";"FGA";"Euronext Paris";"EUR";"21,26";"21,89";"21,11";"21,73";"10/03/2017 17:35";"CET";"44131";"955820,19"
"FILAE";"FR0010221069";"ALFIL";"Alternext Paris";"EUR";"5,85";"5,85";"5,85";"5,85";"09/03/2017 15:30";"CET";"5000";"29250,00"
"FIMALAC";"FR0000037947";"FIM";"Euronext Paris";"EUR";"107,80";"108,37";"107,02";"107,60";"10/03/2017 17:35";"CET";"645";"69428,55"
"FIN.ETANG BERRE";"FR0000062341";"BERR";"Euronext Paris";"EUR";"6,00";"6,00";"6,00";"6,00";"10/03/2017 16:30";"CET";"100";"600,00"
"FIN.ETANG BERRE PF";"FR0000062507";"EBPF";"Euronext Paris";"EUR";"77,00";"77,00";"77,00";"77,00";"06/03/2017 16:39";"CET";"5";"385,00"
